"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"587865412705";"606345334105";"6283706";"1";"SZZ";"A";"2016-01-11";"2016-02-09";"2.5";""
"587865412805";"624366240505";"6283806";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1.5";""
"534495046705";"534495046605";"6284306";"1";"SZZ";"";"";"2014-06-23";"2";""
"587865415105";"692512428905";"6284706";"1";"SZZ";"A";"2016-04-21";"2016-06-28";"1.5";""
"763155693105";"712263581405";"6284906";"2";"SZZ";"A";"2016-08-03";"2016-08-30";"1";""
"587865415205";"712263581405";"6284906";"1";"SZZ1";"A";"2016-04-27";"2016-06-21";"4";""
"587865415305";"730292855605";"6285006";"1";"SZZ";"";"2017-01-10";"2017-02-08";"2";""
"587865415405";"716043790105";"6285606";"1";"SZZ";"A";"2016-04-18";"2016-06-28";"2";""
"587865377705";"727184685605";"6285906";"1";"SZZ";"A";"2016-04-27";"2016-06-21";"1.5";""
"765360967805";"728483276405";"6286806";"2";"SZZ";"A";"2016-07-13";"2016-08-30";"2.5";""
"587865377805";"728483276405";"6286806";"1";"SZZ1";"A";"2016-05-09";"2016-06-29";"4";""
"587865377905";"615067319105";"6286906";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1.5";""
"587865378005";"625829870105";"6287006";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1";""
"540340904605";"540340904505";"6287206";"1";"SZZ";"A";"2015-05-21";"2015-06-22";"2.5";""
"587865415505";"618370443805";"6287306";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"2";""
"673471301405";"628774303805";"6287406";"2";"SZZ";"A";"2016-06-12";"2015-06-23";"1.5";""
"587865415605";"628774303805";"6287406";"1";"SZZ1";"A";"2015-05-20";"2015-06-23";"4";""
"587865415705";"";"6287606";"1";"SZZ";"";"";"";"";""
"587865415805";"627056985305";"6288106";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"2";""
"587864091505";"";"6288706";"1";"SZZ";"";"";"";"";""
"587865415905";"630504062005";"6289106";"1";"SZZ";"A";"2015-05-20";"2015-06-23";"2.5";""
"674800842805";"632472191805";"6289206";"2";"SZZ";"A";"2015-08-04";"2015-08-31";"2";""
"587865416005";"632472191805";"6289206";"1";"SZZ1";"A";"2015-05-20";"2015-06-24";"4";""
"587865419305";"613664800305";"6289306";"1";"SZZ";"A";"2015-05-20";"2015-06-23";"1.5";""
"587865419405";"";"6289606";"1";"SZZ";"";"";"";"";""
"587865419505";"622193220905";"6289706";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1";""
"587864091705";"";"6289806";"1";"SZZ";"";"";"";"";""
"764807825905";"727184189205";"6289906";"2";"SZZ";"";"2017-01-09";"2017-02-08";"2.5";""
"587865419605";"727184189205";"6289906";"1";"SZZ1";"A";"2016-05-17";"2016-06-27";"4";""
"587865419705";"715012423005";"6290406";"1";"SZZ";"A";"2016-04-21";"2016-06-21";"2";""
"587865419805";"";"6290506";"1";"SZZ";"";"";"";"";""
"587865419905";"724063199105";"6290606";"1";"SZZ";"A";"2016-05-11";"2016-06-27";"1.5";""
"587865420005";"613897252005";"6290706";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"2";""
"587865420105";"603946628305";"6290806";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1";""
"587865420205";"617183452005";"6290906";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1.5";""
"587865420305";"603946617505";"6291306";"1";"SZZ";"A";"2015-05-20";"2015-06-18";"2";""
"587865420405";"";"6291606";"1";"SZZ";"";"";"";"";""
