semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B162,4643006,13027306,,,4.0,1
B162,4643006,13026906,Z,1.0,2.0,1
B162,4643006,13026706,Z,1.0,2.0,1
B162,4643006,13026606,Z,,4.0,1
B162,4643006,13029506,Z,1.0,2.0,1
B162,4643006,13022606,Z,1.0,1.5,1
B162,4643006,13029606,Z,1.0,1.5,1
B162,4643006,13502506,Z,1.0,2.0,1
B162,4643006,13018306,,,4.0,1
B162,4643006,13018106,Z,1.0,2.0,1
B162,4643006,13017906,Z,1.0,2.0,1
B162,4643006,13017806,Z,1.0,1.5,1
B162,4643006,13017606,Z,,4.0,1
B162,4643006,13017506,Z,1.0,2.0,1
B162,4643006,13017206,Z,1.0,1.5,1
B162,4643006,13017106,Z,1.0,2.0,1
B162,4643006,13016906,Z,1.0,1.5,1
B162,4643006,13032106,Z,,4.0,1
B162,4643006,13032006,Z,1.0,2.5,1
B162,4643006,13031806,Z,1.0,1.0,1
B162,4643006,13031706,Z,1.0,2.0,1
B162,4643006,13031406,Z,1.0,1.5,1
B162,4643006,13031106,Z,1.0,2.0,1
B162,4643006,13030706,Z,1.0,2.5,1
B162,4643006,13026306,,,4.0,1
B162,4643006,13030606,Z,1.0,2.0,1
B162,4643006,13022806,Z,1.0,1.5,1
B162,4643006,13022906,Z,1.0,1.5,1
B162,4643006,13023006,Z,,4.0,1
B162,4643006,13036206,Z,1.0,2.0,1
B162,4643006,13025306,Z,1.0,1.0,1
B162,4643006,13033706,Z,1.0,2.0,1
B162,4643006,13498406,Z,,4.0,1
B162,4643006,13034306,Z,1.0,2.0,1
B162,4643006,13032406,Z,1.0,2.0,1
B162,4643006,13022306,Z,1.0,3.0,1
B162,4643006,13031306,Z,,,1
B162,4643006,13502106,,,4.0,1
B162,4643006,13499206,Z,1.0,1.5,1
B162,4643006,13022006,Z,1.0,1.5,1
B162,4643006,13035006,Z,1.0,3.0,1
B162,4643006,13025806,Z,1.0,1.0,1
B162,4643006,13025706,Z,1.0,1.5,1
