studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
15566206,2.0,2.0,1.0,2.0,3.0,1.5,1.5,1.5,2.5,3.0,3.0,1.5,2.0,2.5,2.5,2.5,1.5,1.0,1.5,2.0
15573806,1.0,2.5,1.0,2.0,1.5,2.0,2.0,1.5,2.5,3.0,2.0,1.5,3.0,2.5,2.0,2.5,2.0,1.0,1.5,1.0
15590406,3.0,2.5,1.0,3.0,1.5,2.0,2.0,1.5,2.0,2.5,3.0,2.0,2.5,2.5,2.5,1.5,2.0,1.0,1.5,1.5
15574306,2.5,2.0,1.0,2.0,2.0,2.0,2.5,2.0,1.0,2.5,2.5,1.5,2.5,1.5,2.0,2.0,2.5,1.5,1.5,1.0
15586106,3.0,2.0,,2.5,2.0,2.0,2.5,3.0,1.0,3.0,2.5,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.5,2.0
14310206,2.5,2.0,2.0,3.0,3.0,2.5,2.0,2.5,3.0,3.0,3.0,2.0,2.5,2.5,3.0,2.0,2.0,1.0,2.5,1.0
14317806,3.0,2.5,1.0,2.5,2.5,2.0,2.0,3.0,2.0,3.0,2.5,3.0,2.5,1.0,2.5,2.0,2.0,1.0,1.5,1.0
15607406,2.5,2.0,1.0,2.5,2.0,2.5,2.0,1.5,1.0,2.5,2.5,1.0,2.0,1.0,1.5,1.5,2.0,1.0,1.5,1.5
15560706,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.0,2.0,3.0,1.5,2.0,1.5,2.0,2.0,1.5,1.0,2.5,1.0
15562806,1.5,3.0,1.0,2.5,2.0,2.0,3.0,1.0,2.0,2.5,3.0,1.5,2.5,2.5,2.5,2.5,1.5,1.0,1.0,2.0
15560406,1.0,2.5,1.5,1.5,2.5,1.5,1.0,1.0,1.5,2.0,1.0,1.5,2.5,1.0,1.5,1.0,2.5,1.0,1.5,1.5
15614106,2.5,2.5,1.0,3.0,1.5,1.5,1.0,1.0,1.0,2.5,1.5,1.5,2.0,1.0,2.0,2.0,1.5,1.5,1.0,1.5
14321606,3.0,2.0,1.0,3.0,2.5,1.5,3.0,2.5,2.5,1.5,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.0,1.0,1.0
14798406,2.0,3.0,1.5,2.5,2.0,1.5,1.5,2.0,1.0,2.0,3.0,1.5,3.0,2.5,3.0,2.5,2.5,1.5,1.5,1.5
15576006,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
16722206,,,,1.0,2.0,,,,,,3.0,2.0,2.0,2.5,,,1.5,1.5,,1.0
14800106,1.5,2.0,1.0,1.0,2.0,1.5,1.0,2.5,1.0,2.0,1.0,1.5,2.0,1.0,2.0,1.5,1.0,1.5,1.5,1.0
15595506,1.5,3.0,1.0,1.5,1.5,1.0,1.0,1.0,2.5,1.5,1.0,2.0,2.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5
16731806,,,,,,,,,,,2.5,,,3.0,,,2.5,1.5,,
16719406,,,,1.0,,2.0,1.5,2.0,,,3.0,1.5,,1.5,,,2.5,1.5,2.5,1.0
15594906,2.5,3.0,1.0,2.0,1.5,1.5,2.0,1.5,2.0,2.0,2.5,2.0,2.5,3.0,2.5,1.5,2.0,1.0,2.0,1.5
15615906,2.5,2.5,1.0,2.0,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.0,1.5,1.5,1.0,1.0,1.0
15571706,1.5,1.5,1.0,1.0,1.5,1.5,1.5,1.5,2.0,2.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.5,1.0
14268906,2.5,2.5,1.5,2.5,2.0,2.5,2.0,2.5,1.0,2.0,2.5,3.0,2.0,3.0,2.5,2.5,3.0,1.5,2.0,1.0
14318606,2.5,2.0,3.0,2.5,3.0,2.5,2.5,3.0,1.0,2.5,2.0,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.0
14311306,2.0,3.0,2.5,3.0,2.0,2.5,2.5,2.0,3.0,2.5,3.0,1.5,2.5,2.5,3.0,3.0,2.5,1.0,2.0,2.5
15564406,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.5,1.0,1.5,1.5,1.0,2.0,1.0,1.0,1.5,2.0,1.5
15575606,3.0,2.0,1.0,2.5,2.5,1.5,2.5,2.0,2.0,1.5,2.5,2.5,2.0,2.5,3.0,1.5,2.0,1.5,2.0,1.0
14254806,2.5,2.5,1.0,2.5,2.0,1.0,2.5,1.0,1.0,2.0,1.5,2.0,2.0,2.5,2.0,1.5,1.5,1.0,1.5,1.5
15603106,2.5,1.5,1.5,2.5,1.5,2.0,2.0,1.5,1.0,3.0,2.5,1.5,2.0,2.5,1.5,1.5,1.5,1.0,1.5,1.0
16732706,1.0,2.0,,2.5,,2.0,,,,1.5,,1.5,2.0,3.0,1.5,,2.0,,4.0,
16733606,,3.0,,1.5,,,,,,2.5,2.5,1.5,2.5,2.5,,2.5,2.5,2.5,2.0,2.0
16739506,2.5,1.5,1.0,2.0,2.0,2.5,2.5,2.0,1.5,4.0,2.5,2.0,4.0,,4.0,,,,4.0,2.0
16712006,4.0,1.5,1.5,3.0,2.0,2.5,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,,,,4.0
17913406,,1.5,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,,,,,,,,,,
16744106,,,,,,2.5,2.0,,,3.0,4.0,,2.5,,,1.5,,,1.5,
17902306,4.0,1.5,1.5,4.0,2.0,2.5,,4.0,4.0,4.0,,,,,,,,,,
16735506,4.0,3.0,1.5,2.0,2.0,2.0,,2.0,2.5,2.0,4.0,2.0,2.5,,3.0,2.5,4.0,,4.0,1.5
17938606,,2.0,3.0,2.5,2.5,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
18586906,3.0,3.0,1.0,3.0,2.0,4.0,4.0,1.5,1.0,3.0,,4.0,4.0,,,,,,,
17901706,2.5,1.0,1.0,2.0,2.0,2.5,2.5,1.5,1.5,,4.0,4.0,4.0,,,,,,,1.5
18581906,3.0,,,,,,,2.0,,,4.0,,4.0,4.0,4.0,2.5,2.5,,4.0,
18593706,2.0,1.5,1.0,2.5,2.5,2.0,2.0,2.0,2.0,2.5,4.0,4.0,4.0,,,,,,,4.0
17950906,,1.5,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
17919606,4.0,3.0,1.5,2.5,4.0,4.0,4.0,2.5,4.0,4.0,,,,,,,,,,
17902706,1.5,1.5,1.0,1.5,1.5,2.0,1.5,1.0,1.0,2.0,4.0,4.0,4.0,,,,,,,
